resolution_stategy,dep_key,tree_accurarcy,overlap_tree,contains_bundled,nmb_npm_deps,contains_optionals_and_peers
dep_reach_plus_bundled_plus_peer,mtn-cli@1.3.5,0.9795918367346939,0.96,False,33,False
dep_reuse_plus_bundled_plus_peer,mtn-cli@1.3.5,1.0,1.0,False,33,False
dep_reach,react-native-kbtest@1.0.4,0.994146096606364,0.7656262243698576,False,596,True
dep_reuse,react-native-kbtest@1.0.4,0.9942139286271477,0.7657184651150641,False,596,True
dep_reach_plus_bundled_plus_peer,react-native-kbtest@1.0.4,0.994146096606364,0.7656262243698576,False,596,True
dep_reuse_plus_bundled_plus_peer,react-native-kbtest@1.0.4,0.9942139286271477,0.7657184651150641,False,596,True
dep_reach,codexiao-first@1.0.0,1.0,1.0,False,1,False
dep_reuse,codexiao-first@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,codexiao-first@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,codexiao-first@1.0.0,1.0,1.0,False,1,False
dep_reach,log-project@1.0.0,1.0,1.0,False,1,False
dep_reuse,log-project@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,log-project@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,log-project@1.0.0,1.0,1.0,False,1,False
dep_reach,@btdotcom/models@1.41.0,1.0,1.0,False,7,True
dep_reuse,@btdotcom/models@1.41.0,1.0,1.0,False,7,True
dep_reach_plus_bundled_plus_peer,@btdotcom/models@1.41.0,1.0,1.0,False,7,True
dep_reuse_plus_bundled_plus_peer,@btdotcom/models@1.41.0,1.0,1.0,False,7,True
dep_reach,menglian-test@1.0.1,1.0,1.0,False,1,False
dep_reuse,menglian-test@1.0.1,1.0,1.0,False,1,False
